RABA_ID,DESCRIPTION,MIN_AREA,IMPORT,landuse,crop,trees,natural,wetland
1100,"Njiva ali vrt",1000,YES,farmland,,,,
1160,"Hmeljišče",500,YES,farmland,hop,,,
1180,"Trajne rastline na njivskih površinah",1000,YES,plant_nursery,,,,
1190,"Rastlinjak",25,YES,greenhouse_horticulture,,,,
1211,"Vinograd",500,YES,vineyard,grape,,,
1212,"Matičnjak",500,YES,vineyard,,,,
1221,"Intenzivni sadovnjak",1000,YES,orchard,,,,
1222,"Ekstenzivni sadovnjak",1000,YES,orchard,,,,
1230,"Oljčnik",500,YES,orchard,,olive_trees,,
1240,"Ostali trajni nasadi",500,YES,plantation,,,,
1300,"Trajni travnik",1000,YES,meadow,,,,
1321,"Barjanski travnik",1000,YES,meadow,,,,
1410,"Kmetijsko zemljišče v zaraščanju",1000,YES,,,,scrub,
1420,"Plantaža gozdnega drevja",1000,YES,forest,,,,
1500,"Drevesa in grmičevje",1000,YES,,,,scrub,
1600,"Neobdelano kmetijsko zemljišče",1000,NO,,,,,
1800,"Kmetijsko zemljišče, poraslo z gozdnim drevjem",1000,YES,forest,,,,
2000,"Gozd",5000,YES,forest,,,,
3000,"Pozidano in sorodno zemljišce",25,NO,,,,,
4100,"Barje",5000,YES,,,,wetland,
4210,"Trstičje",5000,YES,,,,wetland,reedbed
4220,"Ostalo zamočvirjeno zemljišče",5000,YES,,,,wetland,
5000,"Suho, odprto zemljišče s posebnim rastlinskim pokrovom",5000,NO,,,,,
6000,"Odprto zemljišče brez ali z nepomembnim rastlinskim pokrovom",,NO,,,,,
7000,"Voda",10,NO,,,,water,
